default_rate_7dpd,default_rate_51dpd,default_rate_365dpd
,,
,,
,,
,,
,,
0.214901734114644,0.13549120703434947,0.13007155875297546
0.21220283870374446,0.12009336970126246,0.11528963491321197
0.20687982423601745,0.10898835231904634,0.10462881822628449
0.20460778492341433,0.10194691052081462,0.097869034099982
0.1998571818206194,0.0937151466179003,0.08996654075318428
0.1903747268330969,0.0859347766398721,0.08249738557427722
0.18743455960688316,0.08034298824743176,0.07712926871753449
0.18190991090466238,0.07522766783588365,0.0722185611224483
0.18165581988232252,0.07155235386811595,0.06869025971339131
0.17600581598271067,0.06588140297842808,0.06324614685929096
0.17498813126459464,0.0669309192626064,0.06425368249210214
0.1777261999145975,0.06717540305475099,0.06448838693256097
0.1762179946573973,0.06640424358676096,0.06374807384329052
0.1789161706040947,0.06494094520714927,0.0623433073988633
0.17979006297154787,0.06487540013915204,0.06228038413358594
0.18448244066242447,0.06488805724492168,0.062292534955124816
0.18973009730072946,0.06363541040908184,0.06108999399271856
0.19088177860699995,0.06359455660823467,0.06105077434390529
0.19114872467009802,0.06293188673005833,0.06041461126085598
0.18906325428491452,0.06269324358193862,0.06018551383866106
0.1895243994214905,0.06419610876280685,0.061628264412294576
0.18380891802273427,0.06412279215719553,0.06155788047090771
